Job Title,Company,Location,Required Skills,Years Experience,Job Description,URL
AI Engineer - Agentic Systems,Salesforce,San Francisco CA (Hybrid),"Python, LangChain, LangGraph, agentic workflows, RAG, tool integration",1,Design agentic AI systems for enterprise CRM use cases. Implement multi-step reasoning and tool-calling workflows. Integrate LLMs with structured enterprise data. Experience with LangGraph or similar orchestration frameworks required. Prompt engineering and context management skills essential.,https://careers.salesforce.com/en/jobs/?search=AI+engineer&team=Software+Engineering
Research Scientist - LLMs,Cohere,Toronto Canada (Remote),"Python, PyTorch, NLP, transformers, retrieval, evaluation",2,"Research and develop large language models with focus on enterprise use cases. Evaluate model quality across retrieval, reasoning, and generation tasks. Contribute to model training and fine-tuning pipelines. Strong NLP background required. Experience with RAG architectures preferred.",https://cohere.com/careers
ML Engineer - Search,Spotify,New York NY (Hybrid),"Python, TensorFlow, NLP, recommendation systems, A/B testing",2,Build ML models powering Spotify's search and discovery features. Design and evaluate ranking and retrieval systems. Collaborate with data engineers on feature pipelines. Experience with recommendation systems or information retrieval required. Strong A/B testing methodology skills preferred.,https://www.lifeatspotify.com/jobs?l=new-york&t=machine-learning
Data Scientist - AI Products,Airbnb,San Francisco CA (Hybrid),"Python, SQL, ML modeling, causal inference, experimentation",2,"Use ML and statistical modeling to improve Airbnb's core product experiences. Design experiments and measure business impact. Partner with product, design, and engineering. Strong causal inference skills required. Experience building production ML models for consumer products preferred.",https://careers.airbnb.com/positions/?department=data-science-analytics
AI Platform Engineer,Palantir,Denver CO (Hybrid),"Python, ML deployment, REST APIs, Docker, cloud infrastructure, LLMs",2,Build and deploy AI applications on Palantir's Foundry and AIP platforms. Integrate LLM capabilities into analytical workflows. Work closely with customer-facing teams on delivery. Strong software engineering skills required. Experience with enterprise AI deployment preferred.,https://www.palantir.com/careers/life/
ML Engineer - Vision,Waymo,Mountain View CA (On-site),"Python, PyTorch, computer vision, CNNs, 3D perception, C++",3,Develop perception and prediction models for autonomous driving. Implement and evaluate vision and sensor fusion algorithms. Collaborate with simulation and robotics teams. Strong computer vision background required. Experience with real-time embedded inference preferred.,https://waymo.com/careers/
Applied Scientist - RecSys,Netflix,Los Gatos CA (Hybrid),"Python, recommender systems, PyTorch, causal inference, large-scale ML",3,Research and deploy recommendation algorithms for Netflix's global catalog. Design offline and online evaluation frameworks. Work at the intersection of research and production. Deep expertise in recommender systems required. Experience with causal modeling and counterfactual evaluation preferred.,https://jobs.netflix.com/search?q=machine+learning
GenAI Data Scientist,JPMorgan Chase AI Research,New York NY (Hybrid),"Python, LLMs, RAG, prompt engineering, NLP, financial data",2,Apply GenAI techniques to financial services use cases including document analysis and risk modeling. Build RAG pipelines and evaluation frameworks. Collaborate with compliance and business stakeholders. Strong NLP and LLM background required. Financial domain knowledge a plus.,https://careers.jpmorgan.com/us/en/our-businesses/technology
AI/ML Intern - Summer 2026,Qualcomm AI Research,San Diego CA (On-site),"Python, PyTorch, on-device ML, model compression, quantization",0,Research and implement efficient ML models for mobile and edge devices. Contribute to model quantization and pruning projects. Work with research mentors on publishable work. Currently pursuing MS or PhD in ML or related field required. Familiarity with hardware-aware ML optimization preferred.,https://careers.qualcomm.com/careers/search?keywords=machine+learning+intern
Machine Learning Intern,Two Sigma,New York NY (On-site),"Python, ML, statistics, time series, financial modeling",0,Apply ML techniques to quantitative investment research. Implement and backtest predictive models on financial datasets. Work with experienced researchers. Currently pursuing MS or PhD required. Strong statistics and Python skills essential. Interest in quantitative finance preferred.,https://careers.twosigma.com/careers/SearchJobs
AI Research Intern,Adobe Research,San Jose CA (Hybrid),"Python, deep learning, PyTorch, generative models, computer vision or NLP",0,"Conduct research in creative AI including generative models for images, video, or language. Implement novel algorithms and evaluate results. Co-author research papers with senior scientists. Currently pursuing MS or PhD required. Strong publication record or project portfolio preferred.",https://research.adobe.com/careers/
ML Engineer - LLMOps,Scale AI,San Francisco CA (Remote),"Python, LLMs, RLHF, evaluation pipelines, data quality, MLOps",1,"Build systems for LLM evaluation, data quality, and RLHF workflows. Design scalable annotation and feedback pipelines. Partner with model teams to improve training data and preference signals. Experience with RLHF or instruction tuning required. Strong Python and MLOps skills essential.",https://scale.com/careers
Data Scientist - GenAI,Booz Allen Hamilton,McLean VA (Hybrid),"Python, LLMs, RAG, NLP, cloud, security clearance eligible",1,Develop GenAI solutions for federal government clients. Build and evaluate RAG pipelines and agentic workflows. Translate mission requirements into AI system designs. Strong NLP and LLM skills required. US citizenship required; security clearance eligibility essential.,https://careers.boozallen.com/jobs/JobBoard/Jobs
ML Engineer - Foundation Models,Mistral AI,Remote (US),"Python, PyTorch, distributed training, LLMs, CUDA",2,Work on pre-training and fine-tuning of foundation models. Implement efficient training infrastructure and optimization techniques. Collaborate with research scientists on architecture improvements. Strong distributed training experience required. CUDA or GPU programming skills preferred.,https://mistral.ai/careers/
AI Engineer - RAG and Retrieval,Pinecone,Remote (US),"Python, vector search, RAG, LangChain, LlamaIndex, embeddings",1,"Build RAG applications and developer tools on top of Pinecone's vector database. Design retrieval and reranking pipelines. Create documentation, demos, and example applications. Strong understanding of RAG architectures required. Experience with LangChain or LlamaIndex essential.",https://www.pinecone.io/careers/
Mechanical Integrity Engineer,ExxonMobil,"Fawley, UK",mechanical engineering piping inspection corrosion ASME pressure vessels,5,Ensure mechanical integrity of refinery equipment including piping systems pressure vessels and rotating equipment. Conduct risk-based inspections and work with operations teams to maintain asset reliability.,https://jobs.exxonmobil.com/ExxonMobil/job/Fawley-Mechanical-Integrity-Engineer-HAM/1364407700/
